decision_id,marker_type,source_file,object_id,pdf_page_start,pdf_page_end,bylaw_page_start,bylaw_page_end,source_section,raw_value,source_finding,approved_disposition,approved_normalized_value,required_action,review_status,reviewed_on
july-011,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-req-zone-p-clause-21-6-3,140,140,136,136,21.6.3,"New buildings require a separation distance of 5 m.","PDF clause matches exactly and the 5 m value is explicit.",approved,"separation distance 5 m","Promote the requirement and numeric value to high confidence; clear the marker.",approved,2026-08-06
july-012,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-req-zone-p-clause-21-7-1-b,140,140,136,136,21.7.1(b),"The land use buffer shall be planted with street trees and shrubs at a frequency of one tree for every 8 m (26.2 ft) of length along the abutting boundary line.","PDF clause matches; the value is a planting frequency of one tree per 8 m, with 26.2 ft as the source alternative.",approved,"planting frequency one tree per 8 m; source alternative 26.2 ft","Promote the requirement and linked numeric value; retain the per-tree frequency basis and clear the marker.",approved,2026-08-06
july-013,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/pps.json,zone-pps-term-term-trail_system_zoning_and_development_byl_aw,157,157,153,153,25.3.1(j),"Trail System ZONING & DEVELOPMENT BYL AW","The PDF clause and visual page read Trail System; the appended zoning-bylaw header is column bleed.",approved_with_extraction_correction,trail_system,"Replace the raw term with the source clause value Trail System for the normalized term match; clear the marker and flag.",approved,2026-08-06
july-014,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/pps.json,zone-pps-use-trail-system-zoning-and-development-byl-aw-10-1,157,157,153,153,25.3.1(j),"Trail System ZONING & DEVELOPMENT BYL AW","The PDF lists Trail System as a permitted PPS use; the appended zoning-bylaw header is extraction bleed.",approved_with_extraction_correction,"trail_system; status permitted","Replace the raw use value with Trail System for code matching, preserve the source clause, and clear the marker.",approved,2026-08-06
july-015,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/rn.json,zone-rn-req-zone-rn-clause-10-5-6-a,94,94,90,90,10.5.6(a),"New residential development shall exhibit a variety of building designs 4 m2 Landscaping 1.5 m Walkway along each block to reinforce individual identity and neighbourhood character.","The PDF two-column clause reads New residential development shall exhibit a variety of building designs along each block to reinforce individual identity and neighbourhood character; 4 m2 Landscaping and 1.5 m Walkway are figure labels.",approved_with_extraction_correction,"New residential development shall exhibit a variety of building designs along each block to reinforce individual identity and neighbourhood character.","Replace the figure-bleed text, remove the linked 1.5 m numeric value, promote the corrected requirement, and clear the marker.",approved,2026-08-06
july-016,confidence,data/zoning/charlottetown-draft-2026-07-30/zones/rn.json,zone-rn-req-zone-rn-clause-10-5-8,94,96,90,92,10.5.8,"At least 4 m2 of front porch (covered or uncovered) is required for every street ST PETERS RD BRACKLEY POINT RD 0 180 360 540 720 m Schedule 10.1 Manufactured Homes Schedule Manufactured Homes Permitted in accordance with Section 10.4.5 GREATGEORGE ST BRIGHTON RD RTE 25 LONGWORTH A V MALPEQUE RD KIRKWOOD DR EUSTON ST ALLEN ST GRAFTON ST CAPITAL DR SHERWOOD RD BELVEDERE AV ST PETERS RD UNI VER SITY AVNORTH RIVER RD BRACKLEY POINT RD MOUNT EDWARD RD LOW ERMALPEQUERD TR ANS CANADAHW Y UPTON RD CAPITAL DR STPETERS RD MALPEQUE RD RIVER SIDEDR ARTERIAL HWY 0 0.5 1 1.5 2 km Brackley Milton Station Marshfield Stratford York Cornwall Street Hierarchy Schedule C Hillsborough River North River facing facade.","The PDF clause starts on page 94, is interrupted by Schedule 10.1 on page 95, and continues with facing facade. at the top of page 96.",approved_with_continuation_correction,"At least 4 m2 of front porch (covered or uncovered) is required for every street facing facade.","Remove Schedule 10.1 map bleed and the 720 m numeric value, join the page-96 continuation, promote the corrected requirement, and clear the marker.",approved,2026-08-06
july-017,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/c.json,zone-c-flag-unmatched-use-single-detached-dwellings-in-accordance-with-the-rn-zone-requirements-1-1,161,161,157,157,27.3.1 (actual UE),"Use phrase was preserved but did not match reviewed term/use code tables: Single-detached dwellings in accordance with the RN Zone requirements","This flag is attached to the mislabeled C file, but the source clause is UE. It is a file-assignment duplicate, not evidence of a C-to-UE relationship.",closed_misassigned_placeholder,none; use decision belongs to UE,"Close the C-file flag and retain any approved use decision only under UE. Do not infer a C-to-UE relationship; keep the environmental constraints overlay separate.",approved,2026-08-06
july-018,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/c.json,zone-c-flag-unmatched-term-single-detached-dwellings-in-accordance-with-the-rn-zone-requirements,161,161,157,157,27.3.1 (actual UE),"Term was preserved but did not match reviewed term/use code tables: Single-detached dwellings in accordance with the RN Zone requirements","This flag is attached to the mislabeled C file, but the source clause is UE. It is a file-assignment duplicate, not evidence of a C-to-UE relationship.",closed_misassigned_placeholder,none; term decision belongs to UE,"Close the C-file flag and retain any approved term decision only under UE. Do not infer a C-to-UE relationship; keep the environmental constraints overlay separate.",approved,2026-08-06
july-019,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/eg.json,zone-eg-flag-legacy-open-issue-1,163,164,159,160,27.6-27.7 (actual UE continuation),"Some extracted text was not safely assigned to a labeled section and is preserved in content_blocks.","EG was intentionally removed; PDF pages 163-164 are the better-defined Part 27 UE continuation, so this is a retired-EG placeholder warning.",closed_retired_zone_placeholder,none,"Do not publish EG as a base zone; merge the UE continuation into UE and represent environmental constraints through the separate overlay.",approved,2026-08-06
july-020,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/eg.json,zone-eg-flag-legacy-open-issue-2,163,164,159,160,27.6-27.7 (actual UE continuation),"No discrete permitted-use list items were detected by the extractor for this zone.","EG was intentionally removed; these pages are UE continuation, not EG permitted uses.",closed_retired_zone_placeholder,none,"Do not publish EG as a base-zone use; merge the UE continuation into UE and represent environmental constraints through the separate overlay.",approved,2026-08-06
july-021,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-flag-unmatched-use-marine-gas-station-1-1,139,139,135,135,21.3.1(a),"Use phrase was preserved but did not match reviewed term/use code tables: Marine Gas Station","The PDF explicitly creates this distinct permitted P use; it is not an extraction artifact.",closed_new_code_approved,marine_gas_station,"Close the flag after adding the approved draft-origin marine_gas_station use code.",approved,2026-08-06
july-022,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/p.json,zone-p-flag-unmatched-term-marine-gas-station,139,139,135,135,21.3.1(a),"Term was preserved but did not match reviewed term/use code tables: Marine Gas Station","The PDF explicitly creates this distinct permitted P use; it is not an extraction artifact.",closed_new_code_approved,marine_gas_station,"Close the flag after adding the approved draft-origin marine_gas_station term code.",approved,2026-08-06
july-023,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/pps.json,zone-pps-flag-unmatched-use-trail-system-zoning-and-development-byl-aw-10-1,157,157,153,153,25.3.1(j),"Use phrase was preserved but did not match reviewed term/use code tables: Trail System ZONING & DEVELOPMENT BYL AW","The PDF value is Trail System and the existing canonical trail_system code is an exact match; the appended header is extraction bleed.",closed_extraction_artifact,trail_system,"Close the flag after correcting the raw use value to Trail System and mapping to trail_system.",approved,2026-08-06
july-024,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/pps.json,zone-pps-flag-unmatched-term-trail-system-zoning-and-development-byl-aw,157,157,153,153,25.3.1(j),"Term was preserved but did not match reviewed term/use code tables: Trail System ZONING & DEVELOPMENT BYL AW","The PDF value is Trail System and the existing canonical trail_system code is an exact match; the appended header is extraction bleed.",closed_extraction_artifact,trail_system,"Close the flag after correcting the raw term value to Trail System and mapping to trail_system.",approved,2026-08-06
july-025,review_flag,data/zoning/charlottetown-draft-2026-07-30/zones/ue.json,zone-ue-flag-legacy-open-issue-1,165,166,161,162,28.1 Definitions (not UE),"No discrete permitted-use list items were detected by the extractor for this zone.","PDF pages 165-166 are Part 28 Definitions, not Part 27 UE; the UE replacement is valid on pages 161-164 and this warning is from a definitions placeholder.",closed_ue_placeholder_assignment,none,"Rebuild UE from Part 27 pages 161-164, keep Definitions in definitions.json, and model environmental constraints in the separate overlay.",approved,2026-08-06
