table_key,page_start,page_end,title_guess,section,table_family,column_pattern,entities,periods,continuation_candidate,continuation_group,confidence,review_reasons
2024-2025-p051,51,51,Self Contained Breathing,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025/2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",True,continuation-006,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p052,52,52,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",False,continuation-007,medium,[]
2024-2025-p053,53,53,City of Charlottetown and Charlottetown Water & Sewer,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",True,continuation-007,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p054,54,54,Simmons Sports Centre Replacement,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",False,continuation-008,medium,[]
2024-2025-p055,55,55,Playground Equipment/,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p056,56,56,Victoria Park Shoreline Protection,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p057,57,57,Victoria Park Tennis,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p058,58,58,East Royalty Park Old Road,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p059,59,59,Charlottetown Yacht Club,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-008,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p060,60,60,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",False,,medium,[]
2024-2025-p061,61,61,Critical Incident Command,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",False,,medium,[]
2024-2025-p062,62,62,=~,Capital Budget,capital_budget_schedule,"item | budget (2024, 2024/2025)","[""City of Charlottetown""]","[""2024"", ""2024/2025""]",False,continuation-009,medium,[]
2024-2025-p063,63,63,amet,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""City of Charlottetown""]","[""2024/2025""]",True,continuation-009,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p064,64,64,Hillsborough Park Community,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",False,continuation-010,medium,[]
2024-2025-p065,65,65,Pownal Parkade Restoration,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2024/2025"", ""2025/2026"", ""2026/2027"", ""2027/2028"", ""2028/2029""]",True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p066,66,66,Eastern Gateway Masterplan,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2025""]",True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p067,67,67,Seaview Boulevard Rehabilitation,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p068,68,68,Water Street Rehabilitation,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p069,69,69,Storm Water Modelling,Capital Budget,capital_project_profile,profile field | narrative value,[],"[""2024""]",True,continuation-010,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p070,70,70,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2024/2025""]",False,continuation-011,medium,[]
2024-2025-p071,71,71,2024/2025 Capital Budget,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2024/2025""]",True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p072,72,72,Charlottetown Water & Sewer,Capital Budget,capital_budget_schedule,item | budget (2024/2025),"[""Charlottetown Water and Sewer""]","[""2024/2025""]",True,continuation-011,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p073,73,73,Eastern Gateway Water,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",False,continuation-012,medium,[]
2024-2025-p074,74,74,Seaview Boulevard Water,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p075,75,75,Wastewater Treatment Plant,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p076,76,76,Wellfield Protection,Capital Budget,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]","[""2024""]",True,continuation-012,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p078,78,78,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2023-24, 2024-25, 2024/25)","[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2023-24"", ""2024-25"", ""2024/25""]",False,continuation-013,high,[]
2024-2025-p079,79,79,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p080,80,80,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p081,81,81,Bell Aliant Centre,Operating Budget,facility_operating_statement,"item | budget | variance (2023-24, 2024-25)","[""Bell Aliant Centre""]","[""2023-24"", ""2024-25""]",True,continuation-013,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p082,82,82,Charlottetown Civic Centre Management Inc.,Operating Budget,operating_statement,"item | budget (2023, 2024, 2024 - 2025, 2025)",[],"[""2023"", ""2024"", ""2024 - 2025"", ""2025""]",False,,medium,[]
2024-2025-p083,83,83,"Basketball TC Rental 0,00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],False,,high,[]
2024-2025-p084,84,84,"Phone charges -Lg Ev 0,00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],False,continuation-014,high,[]
2024-2025-p085,85,85,Business Development,Operating Budget,operating_statement,item | amount (unlabeled period),[],[],True,continuation-014,medium,"[""adjacent same-family page; continuation requires visual review""]"
2024-2025-p086,86,86,"Compressors 2,500.00",Operating Budget,operating_statement,item | amount (unlabeled period),[],[],True,continuation-014,medium,"[""adjacent same-family page; continuation requires visual review""]"
